"id","textfragment_id","textexpression_id"
3956,1850,5
3957,1851,5
3958,1852,5
3959,1853,5
3960,1854,5
3961,1855,5
3962,1856,5
3963,1857,5
3964,1858,5
3965,1859,5
3966,1860,5
3967,1861,5
3968,1862,5
3969,1863,5
3970,1864,5
3971,1865,5
3972,1866,5
3973,1867,5
3974,1868,5
3975,1869,5
3976,1870,5
3977,1871,5
3978,1872,5
3979,1873,5
3980,1874,5
3981,1875,5
3982,1876,5
3983,1877,5
3984,1878,5
3985,1879,5
3986,1880,5
3987,1881,5
3988,1882,5
3989,1883,5
3990,1884,5
3991,1885,5
3992,1886,5
3993,1887,5
3994,1888,5
3995,1889,5
3996,1890,5
3997,1891,5
3998,1892,5
3999,1893,5
4000,1894,5
4001,1895,5
4002,1896,5
4003,1897,5
4004,1898,5
4005,1899,5
4006,1900,5
4007,1901,5
4008,1902,5
4009,1903,5
4010,1904,5
4011,1905,5
4012,1906,5
